what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1346203808628
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346203808898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346203809338
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346203826089
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346203832799
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1346203844359
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346203845109
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346203869119
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346203870249
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346203874240
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346203874830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346203889651
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1346203889681
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346203895811
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346203899351
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1346203913702
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346203915392
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346203919892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346203920422
